Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Abcam","ABCM","4005.38","","0","NSDQ","12","Medical","Medical - Instruments",".52",".4",".37","","43.4","33.6","1.93","29.28","4.46","","","","","489.091","447.49","53.43399","-11.99801","","","0","0","1.27",".93","604333","17.47","12.62",".64","12.27","0","315.90399","249.606","0","229.27"
"Ambev","ABEV","44064.04","50","4.38","NYSE","12","Consumer Staples","Beverages - Alcohol",".19",".16",".15","15.56","17.5","14.36","2.51","10.77","2.73","2.85","20230504","17.42","-.1","16128.25976","15438.08","5439.89013","4286.15478","18.11","18.83","3.2376",".03345",".93",".61","13394494","3.24","2.44","1.06","2.94",".12","7325.09521","7852.6748","540.05499","15737.16"
"Asbury Automotive Group","ABG","4222.19","5.42","0","NYSE","12","Retail-Wholesale","Automotive - Retail and Whole Sales","29.97","30.54","37.12","5.33","6.42","6.54",".35","4.69","1.38",".28","20230727","29.48","20.03","14372.94824","15433.8","1563.40002","1479.69995","6.23","5.37","51.166","1.04775","1.92",".92","222422","243.13","141.06","1.12","9.38","0","1909.80004","1033.40002","3216.80004","21.53"
"Airbnb","ABNB","77234.93","77.78","0","NSDQ","12","Computer and Technology","Internet - Content","4.09","3.4","2.59","43.06","35.49","29.51","1.9","38.54","13.69","9.2","20230509","35.92","","9656.93945","8399","2094","2013","22.54","22.54","26.32799",".35737","1.86","1.86","4964523","156.18","82.49","1.13","41.03","0","14861","7978","1987","640.53"
"Abbott Laboratories","ABT","193781.02","5.1","1.83","NYSE","12","Medical","Medical - Products","4.56","4.38","5.21","24.03","25.46","24.47","5","15.27","5.27","4.67","20230719","22.48","10.79","39425.73437","43653","12131","8864","13.98","19.77","28.238",".39349","1.63","1.23","5341812","117.51","95.06",".67","1.56","2.04","25224","15489","14522","1737.95"
"Arcosa","ACA","3357.16","112",".29","NYSE","12","Construction","Building Products - Miscellaneous","2.78","2.25","2.13","24.49","30.8","24.93","","12.87","1.5","1.49","20230802","6.52","10.32","2244.3999","2242.8","501.29998","347.20001","12.47","6.11","19.25699",".23849","2.4","1.47","177965","69.45","44.72",".55","27.55",".2","856.79998","367.70001","535.90002","48.44"
"ACADIA Pharmaceuticals","ACAD","3468.48","-4","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","-.09","-.57","-1.32","","","","","","8.65","6.71","20230508","-50.65","27.9","555.919","517.23","-214.15401","-213.44401","-41.76","-41.76","0","0","4.04","3.99","1193849","21.75","13.01",".54","34.3","0","507.93701","125.62999","0","162.23"
"Air Canada","ACDVF","4964.18","-542.86","0","OTC","12","Transportation","Transportation - Airline","1.78",".63","-2.56","","21.98","7.78","","9.38","",".39","20230509","","-19.47","","12734.76","788.42999","-473.05802","-10.55","-8.37","","-9.67396","1.03","1","15275","18.02","12.03","1.93","-3.95","0","7434.31787","7194.32812","11571.08007","358.42"
"Agri Bank China","ACGBY","133413.53","","6.75","OTC","12","Finance","Banks - Foreign","","","","3.69","","","","3.3",".35",".74","20230505","9.95","12.07","","178942.09","58251.48046","55165.27343","21.36","21.36","41.762",".71709","1.18","","8849","9.74","7.08",".25","12.78",".64","4066401","3517008","233686.79687","13999.32"
"Arch Capital Group","ACGL","28222.07","14.57","0","NSDQ","12","Finance","Insurance - Property and Casualty","6.84","6.05","4.07","13.85","12.56","11.11","1.26","14.15","2.15","2.63","20230726","17.51","14.74","12330.88476","9614.81","1724.95898","1618.75903","18.43","19.52","17.655",".22708",".57",".56","1751905","76.03","41.67",".72","21.1","0","17041.48046","30632.8496","2820.45092","371.2"
"Acadia Healthcare","ACHC","6185.65","5.63","0","NSDQ","12","Medical","Medical - Hospital","3.61","3.28","3.08","21.75","20.51","18.6","1.48","15.43","2.18","2.29","20230726","10.22","-5.42","2846.5581","2610.4","564.93298","443.90301","10.32","10.47","34.41799",".49294","1.42","1.3","617262","89.06","63.69","1.31","-18.36","0","506.125","388.32598","1364.54101","92.04"
"Albertsons Companies","ACI","12053.01","14.49","2.29","NYSE","2","Consumer Staples","Consumer Products - Staples","2.89","2.8","3.28","6.21","7.49","7.27","1.52","3.07","6.98",".16","20230725","68.28","6.15","78922.86718","77649.7","4147.20019","2340.10009","1.95","2.39","83.02899","4.86397",".74",".18","3627260","31.81","19.2",".57","1.25",".48","6270.3999","8428.7998","7834.3999","573.95"
"Axcelis Technologies","ACLS","3983.59","17.12","0","NSDQ","12","Computer and Technology","Electronics - Manufacturing Machinery","7.36","5.9","5.2","22.3","20.63","16.54","","20.54","5.99","4.33","20230503","30.16","17.75","982.40002","920","222.06799","210.46099","19.9","19.9","6.34229",".06771","3.54","2.56","451466","133.45","47.95","1.71","53.39","0","877.64501","248.132","45.185","32.72"
"AECOM","ACM","11506.47","4.88",".87","NYSE","9","Construction","Engineering - R and D Services","4.42","3.67","3.42","24.07","22.56","18.75","2.05","17.36","4.27",".87","20230508","18.5","-11.23","13661.26953","13148.18","831.84197","660.95599","2.54","3.67","44.449",".80015","1.08","1.08","565103","91.11","61.26","1.29","-2.5",".72","5822.81005","5404.17089","2156.68603","138.95"
"Accenture","ACN","174863.95","8.03","1.62","NYSE","8","Business Services","Consulting Services","12.52","11.57","10.69","24.8","23.91","22.1","2.52","19.47","7.15","2.77","20230622","30.73","10.04","64120.23828","61594.3","11331.70312","9243.4873","11","11.3",".18429",".00184","1.29","1.23","2075507","320.78","246.17","1.25","3.71","4.48","21610.86914","17523.5","45.893","631.87"
"Enact Holdings","ACT","3897.37","-2.17","2.33","NSDQ","12","Finance","Insurance - Multi line","3.39","3.26","4.36","5.54","7.39","7.09","","5.44",".95","3.56","20230503","17.34","","1160.53002","1095.05","961.57702","949.92102","64.3","64.7","15.336",".18113",".82",".82","132267","27.66","20.92",".62","-.33",".56","594.40399","721.72497","742.83001","162.12"
"","ACWI","17371.7","","1.67","NSDQ","12","Finance","Financial - Investment Funds","","","","","","","","","","","","","","","","","","","","","","","","2478148","94.77","77.52",".93","7.72","1.52","","","","190"
"Adobe","ADBE","169104.34","3.83","0","NSDQ","11","Computer and Technology","Computer - Software","17.34","15.41","13.62","26.05","23.92","21.26","1.79","28.48","11.9","9.4","20230615","36.53","18.54","19214.45703","17606","6976","6120","26.32","28.73","20.35199",".25552","1.12","1.11","1898601","451.02","275.2","1.31","9.55","0","8996","8128","3629","458.7"
"Agree Realty","ADC","6024.4","0","4.37","NYSE","12","Finance","REIT and Equity Trust - Retail","3.73","3.93","3.86","17.29","16.97","17.88","3.48","18.28","1.33","14.02","20230504","4.18","31.04","526.76202","429.81","387.44198","216.47","35.47","39.23","29.527",".43543",".88",".88","533121","80.35","63.49",".46","-5.89","2.92","93.60399","106.067","1940.01794","90.25"
"Adidas","ADDYY","33605.73","8","1.41","OTC","12","Consumer Discretionary","Shoes and Retail Apparel ","1.84","-1.47",".62","127.1","","47.77","","10.93","5.12","1.42","20230505","3.93","-1.37","22763.65234","23721.71","3731.49707","2372.11499","2.88","1.17","23.09499",".3003","1.25","","52778","104.2","45.5","1.03","29.47","1.24","16497.15039","10606.49023","2917.5249","383.19"
"Analog Devices","ADI","92904.78","6.18","1.87","NSDQ","10","Computer and Technology","Semiconductor - Analog and Mixed","10.9","10.6","9.43","17.66","17.32","16.84","1.41","12.81","2.55","7.39","20230524","14.69","14.86","12651.72167","12013.95","5596.65576","3299.15698","27.27","42.85","15.18999",".17911","2.12","1.45","2474765","197.22","136.73","1.15","11.97","3.44","4937.99218","2442.65502","6548.625","505.85"
"Archer Daniels Midland","ADM","41130.82","22.22","2.38","NYSE","12","Consumer Staples","Agriculture - Operations","6.35","6.8","7.54","9.4","11.1","11.89","1.74","7.61","1.65",".4","20230725","18.39","11.82","99698.30468","101848","6657","5629","4.36","4.39","24.42499",".31109","1.51",".85","2502135","97.67","71.7",".8","-18.67","1.8","35410","24191","7735","544.64"
"Adient","ADNT","3544.51","-15","0","NYSE","9","Auto-Tires-Trucks","Automotive - Original Equipment","3.9","1.94",".1","45.32","19.17","9.53","","9.76","1.41",".25","20230503","3.21","-6.3","15004.36035","14121","619","269","-.38",".56","51.573","1.04703","1.2",".92","651870","46.85","27.61","2.75","7.12","0","4163","3501","2564","95.39"
"Automatic Data Processing","ADP","89723.69","4.13","2.31","NSDQ","6","Business Services","Outsourcing","8.98","8.15","6.98","27.62","26.55","24.11","2.21","19.89","24.29","5.08","20230726","104.6","5.33","17929.87695","16498.3","5457.2998","3886","18.46","18.48","44.72299",".80908","1",".99","1568266","269.9","199.94",".81","-9.34","5","54804.89843","55158.69921","2987.10009","414.35"
"Ahold","ADRNY","33835.96","8.82","2.94","OTC","12","Consumer Staples","Consumer Products - Staples","2.86","2.71","2.57","12.82","12.76","12.1","2.69","5.16","2.08",".37","20230510","16.6","6.15","98995.24218","91662.26","7889.35693","4024.75195","2.92","2.93","22.71199",".29386",".72",".41","67364","35.27","24.88",".46","20.63","1.02","11397.83984","15890.40039","4769.64697","977.35"
"Andritz","ADRZY","6680.7","","2.28","OTC","12","Industrial Products","Industrial Services","1.07",".98",".88","","13.11","12.01","","10.01","3.61",".87","","22.23","","8376.42968","7646.89","849.82098","567.41497","5.35","5.33","35.268",".54483","1.17","","284","14.13","7.62",".77","12.65",".29","6019.14013","4942.75488","1475.79895","520"
"Autodesk","ADSK","41328.49","2.76","0","NSDQ","1","Computer and Technology","Computer - Software","8.32","7.21","6.59","28.98","26.7","23.13","1.11","38.71","36.26","8.26","20230525","105.43","19.33","5404.4038","5005","1096","946","16.44","18.28","66.579","1.99213",".84",".84","1164320","234.04","164.31","1.53","2.97","0","3341","4000","2281","214.78"
"ADT","ADT","5236.33","-8.33","2.45","NYSE","12","Industrial Products","Security and Safety Services",".7",".74",".51","15.03","7.72","8.16","","2.73","1.58",".81","20230803","8","6.7","6673.00976","6395","2269.64599","502.68798",".48","4.13","73.87899","2.82835",".81",".49","2580427","9.86","5.71","1.69","-37.05",".14","1721.99597","2661.10302","8956.67089","917.04"
"Adyen","ADYEY","48764.62","","0","OTC","12","Business Services","Financial Transaction Services",".37",".28",".24","","56.18","42.51","2.16","144.36","27.68","","","","","2128.1499","6192.22","412.54501","379.91299","","","","","","","351013","19.2","12.04","1.83","13.99","0","4268.87109","3118.42407","0","3100.1"
"Ameren","AEE","23349.38","12.5","2.83","NYSE","12","Utilities","Utility - Electric Power","4.67","4.35","4.07","21.52","20.47","19.09","2.94","9.09","2.17","2.93","20230504","10.5","3.14","8012.86718","7957","3200","1741","13.5","13.5","56.26599","1.28654",".79",".59","1068270","97.35","74.94",".43",".21","2.52","2668","3366","13685","262.03"
"Aegon","AEG","11743.92","65.52","3.98","NYSE","12","Finance","Insurance - Multi line",".57",".06","-.05","","73.17","7.7","","7.29",".79",".58","20230511","-6.45","","","22478.25","-56.89501","-1279.07105","-8.08","-6.18","30.902",".44721",".09",".09","1355992","5.59","3.77","1.11","-12.9",".17","25909.08007","294274.6875","6686.14599","2675.15"
"Advanced Energy Industries","AEIS","3278.5","7.59",".46","NSDQ","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","5.68","4.59","6.38","13.46","19.06","15.42","","11.29","3.07","1.78","20230503","23.65","27.33","1719.13305","1845.42","302.03698","241.74099","10.82","12.44","24.88599",".3313","3.02","2.07","153358","99.44","69.33","1.56","2.01",".4","1188.51403","393.04299","353.26199","37.47"
"American Equity Investment Life Holding","AEL","3014.07","-17.71",".05","NYSE","12","Finance","Insurance - Life Insurance","5.97","5.38","3.87","10.53","7.21","6.5","","2.34","1.04","2.13","20230508","9.84","-8.36","2236.19091","1415.5","2624.55908","1583.88598","86.25","26.85","21.44199",".27294",".23",".23","416946","47.87","32.99",".88","-15.04",".02","15681.41992","68208.35156","870.82598","77.76"
"Agnico Eagle Mines","AEM","28721.41","14","2.75","NYSE","12","Basic Materials","Mining - Gold","2.5","2.19","2.25","25.84","26.59","23.23","26.59","12.66","1.45","4.85","20230726","6.07","25.66","6147.32812","5741.16","2293.04907","1198.35803","40.12","17.54","10.69999",".11982","2.32","1.03","2597528","59.61","37.54",".81","11.81","1.6","2180.05908","946.42199","1356.94604","494.09"
"American Electric Power","AEP","46955.06","6.06","3.64","NSDQ","12","Utilities","Utility - Electric Power","5.59","5.26","5.02","17.93","17.34","16.32","3.03","7.96","1.94","2.4","20230504","10.75","3.11","19973.22265","19639.5","7102.20019","3816.5","11.77","13.29","58.229","1.39398",".65",".56","2197629","105.18","81.74",".45","-3.87","3.32","9418.70019","14567.40039","33626.19921","514.41"
"Aercap","AER","13921","17","0","NYSE","12","Finance","Financial - Leasing Companies","9.24","8.33","8.31","6.18","6.76","6.1","1.09","2.82",".86","1.96","20230810","14.13","5.32","7151.14501","7013.55","3312.49902","589.45001","24.08","31.2","74.18199","2.87328",".39",".39","877669","65.47","37.88","1.99","-3.38","0","1888.97204","4804.81005","46532.96093","247.04"
"AES","AES","15120.1","6.52","2.94","NYSE","12","Utilities","Utility - Electric Power","1.93","1.72","1.65","13.53","13.12","11.71","1.59","5.76","4.12","1.2","20230505","37.94","1.2","12939.08691","12617","884","-169","-3.99","12.16","82.83799","5.93016","1.18","1.01","4108176","29.27","18.91",".94","-21.42",".66","7643","6491","21740","669.03"
"Arc Resources","AETUF","7163.19","","3.76","OTC","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","","","","4.35","","","","2.61","1.42","1.08","20230504","36.99","51.55","","6646.75","3378.86499","2365.5979","26.39","26.39","12.95199",".14879",".57",".57","15448","17.55","10.61","1.32","-13.14",".44","758.81597","1319.71594","761.50799","612.24"
"American Financial Group","AFG","10323.46",".35","2.08","NYSE","12","Finance","Insurance - Property and Casualty","11.96","11.7","11.6","11.05","10.36","10.14","","9.44","2.55","1.44","20230802","23.33","-1.31","7191.02001","7040","1308","1208","11.4","13.03","26.965",".3692",".44",".44","290695","149.1","115.96",".82","-11.71","2.52","7106","16255","1496","85.17"
"Aflac","AFL","42022","12.32","2.45","NYSE","12","Finance","Insurance - Accident and Health","5.99","5.71","5.25","12.41","12.03","11.47","2.41","9.38","2.12","2.21","20230807","15.25","-1.59","18240.55273","19502","5982","4830","22.9","18.57","27.27499",".37505",".05",".06","2314538","73.84","53.01",".93","-4.59","1.68","5335","93258","7442","612.21"
"AGCO","AGCO","9576.57","32.95",".75","NYSE","12","Industrial Products","Manufacturing - Farm Equipment","13.9","13.53","11.84","9.45","9.46","9.21",".89","7.95","2.32",".72","20230727","27.21","6.93","14041.88671","12651.4","1389.80004","1120.19995","7.3","7.63","30.235",".43337","1.59",".62","509339","144.24","90.25","1.34","-7.74",".96","5739.2998","4088","1264.80004","74.85"
"Ageas","AGESY","8351.97","60.19","7.07","OTC","12","Finance","Insurance - Multi line","7.15","6.7","4.68","7.29","6.57","6.16",".81","4.24",".75",".66","20230510","","","","16295.35","2605.18603","1619.66394","","","","","","","2334","51.13","34.16",".72","-1.17","3.11","4834.14599","105194.20312","4278.08984","189.73"
"","AGG","88947.59","","2.64","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","","","","","","","","","","","","","","5124698","104.23","93.63",".12","2.74","2.64","","","","892.6"
"Alamos Gold","AGI","5323.4","50",".74","NYSE","12","Basic Materials","Mining - Gold",".56",".47",".28","38.54","28.5","23.88","1.69","19.01","1.92","5.99","20230726","4.98","7.3","1006","821.2","279.6","108.09999","10.58","15.23","0","0","2.47","1.14","2913470","13.67","6.48","1.09","33.43",".1","441","181.89999","0","394.62"
"Agilon Health","AGL","9826.95","-75","0","NYSE","12","Medical","Medical Services",".15","-.08","-.21","","","159.4","","","9.38","3.63","20230509","-9.33","","4337.39208","2708.21","-87.392","-101.16401","-3.93","-3.74","3.56609",".03698","2.71","2.71","2176486","28.69","15.39","1.13","46.9","0","1451.27404","535.091","38.48199","414.46"
"AGNC Investment","AGNC","5309.83","14.75","15.58","NSDQ","12","Finance","REIT and Equity Trust","1.9","2.33","3.07","2.97","3.97","4.87","","2.94",".85","3.83","20230724","29.26","7.03","916.195","1590","-1177","-1190","-49.78","129.29","1.1927",".01523",".24",".24","10232394","12.8","7.37","1.22","-10.73","1.44","8956","36663","95","574.66"
"Assured Guaranty","AGO","3129.8","","2.12","NYSE","12","Finance","Insurance - Multi line","5.65","4.6","","12.78","11.47","9.34","","11.86",".6","4.33","20230509","4.88","-7.88","652.59997","723","229","229","17.15","37.07","24.04199",".31651",".7",".7","203200","66.57","46.2","1.1","-15.24","1.12","2518","3620","1675","59.31"
"Avangrid","AGR","15353.51","-15.79","4.43","NYSE","12","Utilities","Utility - Electric Power","2.35","2.22","2.32","22.06","17.86","16.92","4.03","7.73",".75","1.86","20230725","3.43","5.09","8283.24707","7923","2229","1144","8.25","8.48","28.66799",".4019",".69",".61","573703","51.63","37.53",".42","-7.61","1.76","3210","4416","8223","386.64"
"Anhui Conch Cement","AHCHY","16300.66","","10.09","OTC","12","Construction","Building Products - Concrete and Aggregates","2","1.74","","","8.84","7.69","","",".57","","","","","18491.98046","25542.15","","6895.85693","","","","","","","20302","27.5","12.89",".5","-11.05","1.55","16389","3509.92993","986.48699","1059.86"
"Adecco","AHEXY","5679.34","","2.15","OTC","12","Business Services","Outsourcing","1.91","1.54","1.85","9.8","10.91","8.83","1.43","3.93","1.41",".23","20230504","13.03","-3.92","23538.43945","24911.43","1185.46594","928.73297","1.45","2.3","40.838",".69028","1.1","","14680","20.14","13.26","1.32","2.87",".36","9137.08105","5591.33105","3254.708","336.85"
"Asahi Kasei","AHKSY","9625.1","","2.48","OTC","3","Basic Materials","Chemical - Diversified ","","","","9.15","","","","3.52",".69",".45","20230512","7.25","","","21925.41","3265.3479","1947","4.73","4.94","21.406",".27235","1.58","","44325","17.1","12.57",".73","-2.68",".34","11874.45996","8222.26464","3760.25097","696.97"
"American International Group","AIG","38099.38","14.29","2.46","NYSE","12","Finance","Insurance - Multi line","7.46","6.13","4.41","11.51","8.48","6.96",".85","4.57",".92",".68","20230504","7.7","2.86","48370.23828","56437","20255","15407","18.21","6.35","39.15499",".65099",".31",".31","3508304","64.55","47.16","1.11","-17.88","1.28","106116","345911","27179","733.67"
"Air Liquide","AIQUY","93515.47","","1.17","OTC","12","Basic Materials","Chemical - Diversified ","1.43","1.34","1.28","","26.61","24.93","2.85","16.98","3.61","","","","","30608.83984","31543.94","7153.31298","4555.24023","","","29.27",".41383",".92",".7","155121","36.03","22.22",".79","26.3",".42","8635.83203","9356.81054","10713.8496","2618.01"
"Apartment Income REIT","AIRC","5308.07","-5.17","5.06","NYSE","12","Finance","REIT and Equity Trust - Residential","2.53","2.42","2.4","14.96","14.7","14.1","","4.25","2.38","6.6","20230727","22.9","","864.96697","773.72","1441.37695","1090.432","64.27","64.27","60.46699","1.49636",".13",".33","719216","48.39","32.8",".9","3.76","1.8","301.40499","911.29101","3244.14306","149.1"
"Air China","AIRYY","13924.58","","0","OTC","12","Transportation","Transportation - Airline",".65","-.27","-6.46","","","26.45","","18.73","2.42","1.37","20230829","-80.69","-20.14","16646.8457","8362.92","-608.32398","-2531.22413","-40.81","-40.81","80.44899","4.11487",".3","","64","19.67","12.39",".62","-3.32","0","4711.49316","14201.05957","20067.39843","810.04"
"Applied Industrial Technologies","AIT","5131.33","12.26","1.05","NYSE","6","Industrial Products","Manufacturing - General Industrial ","8.59","8.39","6.24","15.77","15.82","15.46","","16.24","3.72","1.19","20230810","26.15","4.32","4342.90478","3810.68","413.414","356.57501","7.73","7.65","30.187",".4324","3.14","1.82","179177","146.69","89.72","1.19","5.33","1.4","1359.52905","499.62701","649.15002","38.65"
"Assurant","AIZ","6393.76","55.11","2.32","NYSE","12","Finance","Insurance - Multi line","13.24","11.15","10.52","11.31","10.84","9.12",".96","8.06","1.51",".62","20230801","13.57","7.98","10552.94238","10193","640.20001","458.20001","2.33","5.59","33.49599",".50367",".42",".42","372187","189.43","104.92",".54","-3.39","2.8","11189.5996","26398.5996","2129.8999","52.92"
"Arthur J. Gallagher & Co.","AJG","44891.73","1","1.05","NYSE","12","Finance","Insurance - Brokerage","9.82","8.71","7.73","26.3","24.12","21.39","2.27","19.59","4.55","5.11","20230727","18.86","5.83","9477.63183","8550.6","2183.5","1583.90002","13.22","19.61","37.922",".61086","1.06","1.04","897060","210.52","149.05",".69","11.44","2.2","22834.5996","21888","5562.7998","213.67"
"Ajinomoto","AJINY","18887.3","",".81","OTC","3","Consumer Staples","Food - Miscellaneous","","","","37.13","","","","15.15","3.18","1.87","20230510","8.17","","","10238.59","1759.29895","1169.81604","5.08","5.08","24.29",".32082","1.91","","5203","36.6","21.94",".09","16.39",".29","5174.6289","2889.21606","2414.40087","529.8"
"Aerojet Rocketdyne Holdings","AJRD","4546.16","-48.33","0","NYSE","12","Aerospace","Aerospace - Defense Equipment","2.21","1.99","1.68","40.25","28.36","25.54","","26.11","8.38","2.03","20230502","21","3.5","2321.40991","2237.6","185.69999","126.9","3.31","5.14","34.75999",".53279","1.43","1.43","544924","56.78","37.03",".57",".75","0","1069","747.09997","288.39999","80.68"
"Akamai Technologies","AKAM","12340.33","7.87","0","NSDQ","12","Computer and Technology","Internet - Services","5.88","5.47","5.26","14.7","14.44","13.42","1.44","9.84","2.85","3.41","20230509","15.12","8.15","3733.95996","3616.65","1266.24804","669.09899","13.15","17.95","34.388",".52411","2.41","2.41","1205764","113.8","70.75",".81","-6.33","0","1969.56201","818.86798","2285.25805","156.29"
"AkzoNobel","AKZOY","13882.49","-3.23","3.29","OTC","12","Basic Materials","Chemical - Diversified ","1.69","1.38","1.02","33.91","19.73","16.05",".7","17.64","3.09","1.21","20230719","7.87",".97","11204.2998","11429.33","1152.63793","764.91302","2.68","3.66","42.284",".73262","1.09",".77","34409","30.02","18.06","1.16","21.58",".89","6578.67822","6053.98583","3510.59497","511.8"
"Air Lease","AL","4311.84","6","2.06","NYSE","12","Transportation","Transportation - Equipment and Leasing","6.1","4.8","-1.43","9.43","8.08","6.37",".57","4.44",".64","1.83","20230803","7.6","8","2650.19702","2317.3","1474.47094","407.41299","21.25","21.25","74.25","2.88348","1.03","1.12","584454","45.47","30.11","1.77","1.09",".8","780.01702","696.89898","18641.06054","111.01"
"Albemarle","ALB","20339.71","1.89",".92","NYSE","12","Basic Materials","Chemical - Diversified ","23.94","26.61","21.8","7.9","6.52","7.24",".41","7.04","2.48","2.78","20230503","37.63","8.75","11791.55078","7320.1","2857.25805","2556.41699","36.75","35.33","28.187",".3925","1.89","1.13","2712644","325.38","173.4","1.53","-20.04","1.6","5186.91699","2741.01489","3214.97192","117.3"
