Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Aegon","AEG","12359.21","65.52","3.78","NYSE","12","Finance","Insurance - Multi line",".56",".06","-.05","","77","8.25","","7.68",".83",".61","20230525","-6.45","","","22478.25","-56.89501","-1279.07105","-8.08","-6.18","30.902",".44721",".09",".09","1677781","5.59","3.77","1.11","-8.33",".17","25909.08007","294274.6875","6686.14599","2675.15"
"Advanced Energy Industries","AEIS","3466.62","10.71",".43","NSDQ","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","5.81","4.77","6.38","14.21","19.35","15.9","","11.92","3.16","1.85","20230802","22.3","28.14","1723.13305","1845.42","302.03698","241.74099","10.35","12.13","24.12199",".31789","3.15","2.07","163609","99.44","69.33","1.56","7.67",".4","1188.51403","393.04299","353.26199","37.53"
"American Equity Investment Life Holding","AEL","3049.84","27.83",".05","NYSE","12","Finance","Insurance - Life Insurance","6.41","5.9","3.87","9.25","6.63","6.11","","2.36","1.16","1.58","20230814","12.84","-11.24","2295.36206","1415.5","2624.55908","1583.88598","25.84","21.47","24.85",".33066",".25",".23","496871","47.87","32.99",".88","-14.23",".02","15681.41992","68208.35156","870.82598","77.94"
"Agnico Eagle Mines","AEM","26562.64","14","2.98","NYSE","12","Basic Materials","Mining - Gold","2.53","2.16","2.25","23.88","24.82","21.27","24.82","11.71","1.34","4.48","20230726","6.07","25.66","6332.33496","5741.16","2293.04907","1198.35803","40.12","17.54","10.69999",".11982","2.32","1.03","2538045","60.4","37.54",".81","3.37","1.6","2180.05908","946.42199","1356.94604","494.28"
"American Electric Power","AEP","44521.36","-2.63","3.83","NSDQ","12","Utilities","Utility - Electric Power","5.59","5.26","5.02","17.4","16.46","15.49","2.87","7.56","1.86","2.26","20230726","10.57","3.99","19973.22265","19639.5","7102.20019","3816.5","10.1","13","60.191","1.51199",".62",".56","2376985","105.18","81.74",".45","-8.75","3.32","9418.70019","14567.40039","33626.19921","513.87"
"Aercap","AER","14055.09","17","0","NYSE","12","Finance","Financial - Leasing Companies","9.25","8.57","8.31","6.49","6.91","6.4","1.11","2.96",".91","1.98","20230810","14.03","7.21","7256.00488","7013.55","3312.49902","589.45001","24.08","31.2","74.16899","2.87131",".28",".39","995284","65.47","37.88","1.99","1.46","0","1888.97204","4804.81005","46532.96093","237.54"
"AES","AES","13962.34","-8.33","3.18","NYSE","12","Utilities","Utility - Electric Power","1.93","1.73","1.65","12.42","12.07","10.82","1.45","5.32","3.85","1.07","20230803","38.46","3.24","12801.48535","12617","884","-169","-3.59","11.78","83.50499","6.23282","1.13","1.01","5863251","29.27","18.91",".94","-27.47",".66","7643","6491","21740","669.34"
"Arc Resources","AETUF","7952.94","","3.38","OTC","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","","","","3.76","","","","2.91","1.58","1.26","20230727","46.13","58.13","","6646.75","3378.86499","2365.5979","35.5","35.5","12.95199",".14879",".57",".57","17783","17.55","10.61","1.32","-3.42",".44","758.81597","1319.71594","761.50799","611.29"
"American Financial Group","AFG","10028.2",".35","2.14","NYSE","12","Finance","Insurance - Property and Casualty","12.03","11.52","11.6","10.73","10.22","9.79","","9.17","2.54","1.39","20230802","23.44","-1.79","7207.02001","7040","1308","1208","11.4","13.03","27.274",".37503",".42",".44","321168","148.66","114.65",".82","-14.24","2.52","7106","16255","1496","85.18"
"Aflac","AFL","40428.83","12.32","2.51","NYSE","12","Finance","Insurance - Accident and Health","6","5.79","5.25","12.1","11.56","11.15","2.31","9.15","2.04","2.12","20230807","15.25","-1.59","18238.06054","19502","5982","4830","22.9","18.57","27.27499",".37505",".05",".06","2396929","73.84","53.01",".93","-6.99","1.68","5335","93258","7442","604.23"
